Item,Function,Value,Manufacturer,MPN,DigiKey_PN,Package,Max_Height_mm,Qty_on_board,Order_Qty,DK_Status_17Sep2026,Unit_Price_USD,Source_of_value
1,DDR4 SDRAM 16Gb x8 (U1-U8),16Gb 2Gx8 DDR4-3200 CL22,Micron Technology,MT40A2G8SA-062E:F,(DK product 15908241),78-FBGA SA 7.5x11 0.8mm,1.2,8,8,Active (out of stock),139.12,Annex A: 16GB = 8x 16Gb x8; CAD = Ultra Librarian model of MT40A2G8SA-062E IT:F (same SA package)
2,SPD EEPROM (EE1004),4Kbit I2C,Microchip,34AA04T-I/MUY,150-34AA04T-I/MUYCT-ND,8-UDFN 2x3,0.55,1,3,1225,0.41,Annex A: SPD without thermal sensor
3,ZQ calibration (1 per DRAM),240R 1%,YAGEO,RC0402FR-07240RL,,0402,0.55,8,20,in stock,~0.10,DRAM datasheet: RZQ 240R 1% to VSSQ
4,DQ/DQS/DM series resistor,15R (spec 15R 5%),YAGEO,RC0402FR-0715RL,311-15LRCT-ND,0402,0.55,88,100,621213,0.11 (1+),Annex A DQ net table R1 = 15R 5% (64 DQ + 16 DQS + 8 DM)
5,CA/CTRL/CK0 termination,39R (spec 39R 5%),YAGEO,RC0402FR-0739RL,311-39.0LRCT-ND,0402,0.55,28,50,336514,0.0097 (100+),Annex A: Addr/Cmd 39R; Ctrl 39R; CK0 R1/R2 39R (23 CA + 3 CTRL + 2 CK0)
6,ALERT_n resistor,47R (spec 47R 5%),YAGEO,RC0402FR-0747RL,311-47.0LRCT-ND,0402,0.55,1,10,204481,0.10 (1+),Annex A ALERT_n net R1 = 47R 5%
7,Unused CK1 termination,75R (spec 75R 5%),YAGEO,RC0402FR-0775RL,311-75.0LRCT-ND,0402,0.55,1,10,50898,0.10 (1+),Annex A unused clock R1 = 75R 5%
8,CK0 cap to VDD + staggered decoupling,0.01uF 50V X7R,Murata,GRM155R71H103KA88D,490-4516-1-ND,0402,0.55,1,50,4600702,0.0124 (100+),Annex A CK0 C2 = 0.01uF; Main spec Table 9 note 2
9,Decoupling VDD/VTT/VPP/VREFCA,0.1uF 16V X7R,Murata,GRM155R71C104KA88D,,0402,0.55,57,100,in stock,~0.01 (100+),Table 9: VDD 2/DRAM=16; VTT 26/2+1=14; VPP 2 balls x8+1=17; VREFCA 8+1=9
10,Decoupling VDD (mix),1.0uF 10V X5R,Samsung,CL05A105KP5NNNC,,0402,0.55,8,50,in stock,~0.01 (100+),Main spec Table 9 note 2 (0.01/0.1/1.0uF)
11,Bulk VDD,4.7uF 16V X5R,Samsung,CL10A475KO8NNNC,1276-1784-1-ND,0603,0.90,4,10,136518,0.14 (1+) / 0.0481 (100+),Main spec Table 9: min 4 bulk per module; note 3 = 4.7uF
