pad,side,layer,front_pin,x,y,w,h,edge_y,pad_bottom,pad_top
1,front,Top,1,3.35,1.675,0.6,1.85,0.5,0.75,2.6
2,front,Top,2,4.2,1.675,0.6,1.85,0.5,0.75,2.6
3,front,Top,3,5.05,1.675,0.6,1.85,0.5,0.75,2.6
4,front,Top,4,5.9,1.675,0.6,1.85,0.5,0.75,2.6
5,front,Top,5,6.75,1.675,0.6,1.85,0.5,0.75,2.6
6,front,Top,6,7.6,1.675,0.6,1.85,0.5,0.75,2.6
7,front,Top,7,8.45,1.675,0.6,1.85,0.5,0.75,2.6
8,front,Top,8,9.3,1.675,0.6,1.85,0.5,0.75,2.6
9,front,Top,9,10.15,1.675,0.6,1.85,0.5,0.75,2.6
10,front,Top,10,11.0,1.675,0.6,1.85,0.5,0.75,2.6
11,front,Top,11,11.85,1.675,0.6,1.85,0.5,0.75,2.6
12,front,Top,12,12.7,1.675,0.6,1.85,0.5,0.75,2.6
13,front,Top,13,13.55,1.675,0.6,1.85,0.5,0.75,2.6
14,front,Top,14,14.4,1.675,0.6,1.85,0.5,0.75,2.6
15,front,Top,15,15.25,1.675,0.6,1.85,0.5,0.75,2.6
16,front,Top,16,16.1,1.675,0.6,1.85,0.5,0.75,2.6
17,front,Top,17,16.95,1.675,0.6,1.85,0.5,0.75,2.6
18,front,Top,18,17.8,1.675,0.6,1.85,0.5,0.75,2.6
19,front,Top,19,18.65,1.675,0.6,1.85,0.5,0.75,2.6
20,front,Top,20,19.5,1.675,0.6,1.85,0.5,0.75,2.6
21,front,Top,21,20.35,1.675,0.6,1.85,0.5,0.75,2.6
22,front,Top,22,21.2,1.675,0.6,1.85,0.5,0.75,2.6
23,front,Top,23,22.05,1.675,0.6,1.85,0.5,0.75,2.6
24,front,Top,24,22.9,1.675,0.6,1.85,0.5,0.75,2.6
25,front,Top,25,23.75,1.675,0.6,1.85,0.5,0.75,2.6
26,front,Top,26,24.6,1.675,0.6,1.85,0.5,0.75,2.6
27,front,Top,27,25.45,1.675,0.6,1.85,0.5,0.75,2.6
28,front,Top,28,26.3,1.675,0.6,1.85,0.5,0.75,2.6
29,front,Top,29,27.15,1.675,0.6,1.85,0.5,0.75,2.6
30,front,Top,30,28.0,1.675,0.6,1.85,0.5,0.75,2.6
31,front,Top,31,28.85,1.675,0.6,1.85,0.5,0.75,2.6
32,front,Top,32,29.7,1.675,0.6,1.85,0.5,0.75,2.6
33,front,Top,33,30.55,1.675,0.6,1.85,0.5,0.75,2.6
34,front,Top,34,31.4,1.675,0.6,1.85,0.5,0.75,2.6
35,front,Top,35,32.25,1.675,0.6,1.85,0.5,0.75,2.6
36,front,Top,36,33.1,1.6542,0.6,1.8917,0.4583,0.7083,2.6
37,front,Top,37,33.95,1.6333,0.6,1.9333,0.4167,0.6667,2.6
38,front,Top,38,34.8,1.6125,0.6,1.975,0.375,0.625,2.6
39,front,Top,39,35.65,1.5917,0.6,2.0167,0.3333,0.5833,2.6
40,front,Top,40,36.5,1.5708,0.6,2.0583,0.2917,0.5417,2.6
41,front,Top,41,37.35,1.55,0.6,2.1,0.25,0.5,2.6
42,front,Top,42,38.2,1.5292,0.6,2.1417,0.2083,0.4583,2.6
43,front,Top,43,39.05,1.5083,0.6,2.1833,0.1667,0.4167,2.6
44,front,Top,44,39.9,1.4875,0.6,2.225,0.125,0.375,2.6
45,front,Top,45,40.75,1.4667,0.6,2.2667,0.0833,0.3333,2.6
46,front,Top,46,41.6,1.4458,0.6,2.3083,0.0417,0.2917,2.6
47,front,Top,47,42.45,1.425,0.6,2.35,0.0,0.25,2.6
48,front,Top,48,43.3,1.425,0.6,2.35,0.0,0.25,2.6
49,front,Top,49,44.15,1.425,0.6,2.35,0.0,0.25,2.6
50,front,Top,50,45.0,1.425,0.6,2.35,0.0,0.25,2.6
51,front,Top,51,45.85,1.425,0.6,2.35,0.0,0.25,2.6
52,front,Top,52,46.7,1.425,0.6,2.35,0.0,0.25,2.6
53,front,Top,53,47.55,1.425,0.6,2.35,0.0,0.25,2.6
54,front,Top,54,48.4,1.425,0.6,2.35,0.0,0.25,2.6
55,front,Top,55,49.25,1.425,0.6,2.35,0.0,0.25,2.6
56,front,Top,56,50.1,1.425,0.6,2.35,0.0,0.25,2.6
57,front,Top,57,50.95,1.425,0.6,2.35,0.0,0.25,2.6
58,front,Top,58,51.8,1.425,0.6,2.35,0.0,0.25,2.6
59,front,Top,59,52.65,1.425,0.6,2.35,0.0,0.25,2.6
60,front,Top,60,53.5,1.425,0.6,2.35,0.0,0.25,2.6
61,front,Top,61,54.35,1.425,0.6,2.35,0.0,0.25,2.6
