designator,x_mm,y_mm,rotation,reason
J1,0.0,0.0,0,"gold fingers, board origin"
U1,9.3,15.3,180,"byte 0 DRAM, lane 9.3, TL3/TL4 fly-by spacing"
R2,6.05,5.0,90,"byte 0 15 ohm series, TL0"
R3,7.35,5.0,90,"byte 0 15 ohm series, TL0"
R4,8.65,5.0,90,"byte 0 15 ohm series, TL0"
R5,9.95,5.0,90,"byte 0 15 ohm series, TL0"
R6,11.25,5.0,90,"byte 0 15 ohm series, TL0"
R7,12.55,5.0,90,"byte 0 15 ohm series, TL0"
R8,6.7,7.0,90,"byte 0 15 ohm series, TL0"
R9,8.0,7.0,90,"byte 0 15 ohm series, TL0"
R10,9.3,7.0,90,"byte 0 15 ohm series, TL0"
R11,10.6,7.0,90,"byte 0 15 ohm series, TL0"
R12,11.9,7.0,90,"byte 0 15 ohm series, TL0"
R1,4.7,11.3,90,U1 ZQ 240 ohm at ball B9 (5 pF max load)
C1,13.9,16.9,90,U1 VREFCA at ball J1 (Table 9)
C2,13.9,14.1,90,"U1 VDD/VDDQ, right-hand VDD balls (Table 9)"
C3,4.7,15.3,90,"U1 VDD/VDDQ, left-hand VDD balls (Table 9)"
C4,9.3,21.7,0,"U1 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C5,13.9,11.3,90,U1 VPP at ball B1 (Table 9)
C6,4.7,19.3,90,U1 VPP at ball M9 (Table 9)
U2,20.23,15.3,180,"byte 1 DRAM, lane 18.7, TL3/TL4 fly-by spacing"
R14,16.21,5.0,90,"byte 1 15 ohm series, TL0"
R15,17.51,5.0,90,"byte 1 15 ohm series, TL0"
R16,18.81,5.0,90,"byte 1 15 ohm series, TL0"
R17,20.11,5.0,90,"byte 1 15 ohm series, TL0"
R18,21.41,5.0,90,"byte 1 15 ohm series, TL0"
R19,22.71,5.0,90,"byte 1 15 ohm series, TL0"
R20,16.86,7.0,90,"byte 1 15 ohm series, TL0"
R21,18.16,7.0,90,"byte 1 15 ohm series, TL0"
R22,19.46,7.0,90,"byte 1 15 ohm series, TL0"
R23,20.76,7.0,90,"byte 1 15 ohm series, TL0"
R24,22.06,7.0,90,"byte 1 15 ohm series, TL0"
R13,15.63,11.3,90,U2 ZQ 240 ohm at ball B9 (5 pF max load)
C7,24.83,16.9,90,U2 VREFCA at ball J1 (Table 9)
C8,24.83,14.1,90,"U2 VDD/VDDQ, right-hand VDD balls (Table 9)"
C9,15.63,15.3,90,"U2 VDD/VDDQ, left-hand VDD balls (Table 9)"
C10,20.23,21.7,0,"U2 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C11,24.83,11.3,90,U2 VPP at ball B1 (Table 9)
C12,15.63,19.3,90,U2 VPP at ball M9 (Table 9)
U3,31.16,15.3,180,"byte 2 DRAM, lane 28.0, TL3/TL4 fly-by spacing"
R26,26.33,5.0,90,"byte 2 15 ohm series, TL0"
R27,27.63,5.0,90,"byte 2 15 ohm series, TL0"
R28,28.93,5.0,90,"byte 2 15 ohm series, TL0"
R29,30.23,5.0,90,"byte 2 15 ohm series, TL0"
R30,31.53,5.0,90,"byte 2 15 ohm series, TL0"
R31,32.83,5.0,90,"byte 2 15 ohm series, TL0"
R32,26.98,7.0,90,"byte 2 15 ohm series, TL0"
R33,28.28,7.0,90,"byte 2 15 ohm series, TL0"
R34,29.58,7.0,90,"byte 2 15 ohm series, TL0"
