designator,x_mm,y_mm,rotation,moved_from_plan_mm,reason
J1,0.000,0.000,0,0.00,"gold fingers, board origin"
U1,9.300,15.300,180,0.00,"byte 0 DRAM, lane 9.3, TL3/TL4 fly-by spacing"
R2,6.050,5.000,90,0.00,"byte 0 15 ohm series, TL0"
R3,7.350,5.000,90,0.00,"byte 0 15 ohm series, TL0"
R4,8.650,5.000,90,0.00,"byte 0 15 ohm series, TL0"
R5,9.950,5.000,90,0.00,"byte 0 15 ohm series, TL0"
R6,11.250,5.000,90,0.00,"byte 0 15 ohm series, TL0"
R7,12.550,5.000,90,0.00,"byte 0 15 ohm series, TL0"
R8,6.700,7.000,90,0.00,"byte 0 15 ohm series, TL0"
R9,8.000,7.000,90,0.00,"byte 0 15 ohm series, TL0"
R10,9.300,7.000,90,0.00,"byte 0 15 ohm series, TL0"
R11,10.600,7.000,90,0.00,"byte 0 15 ohm series, TL0"
R12,11.900,7.000,90,0.00,"byte 0 15 ohm series, TL0"
R1,4.445,11.811,90,0.57,U1 ZQ 240 ohm at ball B9 (5 pF max load)
C1,14.224,17.145,90,0.41,U1 VREFCA at ball J1 (Table 9)
C2,14.224,13.843,90,0.41,"U1 VDD/VDDQ, right-hand VDD balls (Table 9)"
C3,4.318,15.367,90,0.39,"U1 VDD/VDDQ, left-hand VDD balls (Table 9)"
C4,6.858,22.225,0,2.50,"U1 1.0 uF VDD, above the DRAM (Table 9 note 2)"
C5,14.478,9.525,90,1.87,U1 VPP at ball B1 (Table 9)
C6,4.318,18.542,90,0.85,U1 VPP at ball M9 (Table 9)
U2,20.230,15.300,180,0.00,"byte 1 DRAM, lane 18.7, TL3/TL4 fly-by spacing"
R14,16.210,5.000,90,0.00,"byte 1 15 ohm series, TL0"
R15,17.510,5.000,90,0.00,"byte 1 15 ohm series, TL0"
R16,18.810,5.000,90,0.00,"byte 1 15 ohm series, TL0"
R17,20.110,5.000,90,0.00,"byte 1 15 ohm series, TL0"
R18,21.410,5.000,90,0.00,"byte 1 15 ohm series, TL0"
R19,22.710,5.000,90,0.00,"byte 1 15 ohm series, TL0"
R20,16.860,7.000,90,0.00,"byte 1 15 ohm series, TL0"
R21,18.160,7.000,90,0.00,"byte 1 15 ohm series, TL0"
R22,19.460,7.000,90,0.00,"byte 1 15 ohm series, TL0"
R23,20.760,7.000,90,0.00,"byte 1 15 ohm series, TL0"
R24,22.060,7.000,90,0.00,"byte 1 15 ohm series, TL0"
R13,15.367,11.684,90,0.47,U2 ZQ 240 ohm at ball B9 (5 pF max load)
C7,25.146,17.145,90,0.40,U2 VREFCA at ball J1 (Table 9)
C8,25.146,14.116,90,0.32,"U2 VDD/VDDQ, right-hand VDD balls (Table 9)"
C9,15.367,15.367,90,0.27,"U2 VDD/VDDQ, left-hand VDD balls (Table 9)"
C10,18.161,22.225,0,2.13,"U2 1.0 uF VDD, above the DRAM (Table 9 note 2)"
